 InvH_pty_icode, InvH_billnett
 0, 100
 0, 85.5
 0, 32
 0, 75
 0, 815
 0, 130
 0, 30
 0, 20
 0, 30
 0, 52
 0, 990
 0, 1084.3
 0, 430
 0, 370
 0, 100
 0, 24
 0, 420
 0, 6
 0, 181
 0, 50
 0, 81
 0, 399
 0, 495
 0, 446.88
 0, 189.14
 0, 69
 0, 345
 0, 350
 0, 145.95
 0, 37.5
 0, 68
 0, 945.52
 0, 40
 0, 131
 0, 245
 3073, 400.4
 3039, 400.4
 0, 10
 0, 210
 0, 24
 0, 77
 0, 20
 0, 47
 0, 70
 0, 105
 0, 94
 0, 80
 0, 41
 0, 45
 0, 565.95
 0, 306
 0, 19
 0, 9
 0, 9
 0, 34
 0, 72.5
 0, 170
 0, 754.36
 0, 40
 0, 127
 0, 160
 0, 186.2
 0, 44
 0, 10
 0, 254.8
 0, 17
 0, 50
 0, 73
 0, 44.1
 0, 1583.83
 0, 42
 0, 159
 0, 1034
 0, 35
 0, 1023.3
 0, 20
 0, 76
 3061, 238.45
 0, 100
 0, 603.39
 0, 6
 0, 11.76
 0, 39.5
 0, 81
 0, 7
 0, 47
 0, 148
 0, 60
 0, 9
 0, 1517.04
 0, 34
 0, 443
 0, 100
 0, 160
 0, 40
 0, 541.8
 0, 1392.48
 0, 4897.53
 0, 67
 0, 720
 0, 7
 0, 5
 0, 26.5
 0, 407
 0, 263
 0, 18
 0, 239.95
 0, 241.35
 0, 210
 0, 113
 0, 1380
 0, 36
 0, 126
 0, 48
 0, 226
 0, 66
 0, 4519.95
 0, 623.28
 0, 91
 0, 194
 0, 33
 0, 375
 0, 30
 0, 497
 0, 78.4
 0, 52
 0, 10
 0, 59
 0, 3244.4
 0, 160.72
 0, 54
 0, 8
 0, 98
 0, 143
 0, 91
 0, 20
 0, 120
 0, 1629.54
 0, 443
 0, 61
 0, 271.5
 0, 195
 0, 6
 0, 68
 0, 108
 0, 18
 0, 104.5
 0, 26.5
 0, 537
 0, 6
 0, 25
 0, 105
 0, 64
 0, 10.8
 0, 90
 0, 155
 0, 35
 0, 180
 0, 52
 0, 100
 0, 100
 0, 18
 0, 92.12
 0, 175
 0, 17
 0, 85
 0, 13.5
 0, 35
 0, 13
 0, 129.5
 0, 9
 0, 12
 0, 22
 0, 10
 0, 40
 0, 20
 0, 7.2
 0, 1250.37
 0, 64
 0, 288.16
 0, 5
 0, 36
 0, 250
 0, 2569.95
 0, 90
 0, 10
 0, 70
 0, 646
 0, 158
 0, 511
 0, 114
 0, 753
 0, 50
 0, 276
 0, 55
 0, 35.5
 0, 20
 0, 1
 0, 27
 0, 146
 0, 327
 0, 1092.5
 3039, 323
 0, 1158.5
 0, 432
 0, 20
 0, 272.5
 0, 177
 0, 932
 0, 248
 0, 100
 0, 48
 0, 388.5
 0, 59.5
 0, 100
 0, 130
 0, 68
 0, 17
 0, 64
 0, 423.36
 0, 124
 0, 469
 0, 160
 0, 195
 0, 93
 0, 40
 0, 828.1
 0, 477
 0, 36
 0, 207
 0, 235
 0, 1879
 0, 11
 0, 5
 0, 47
 0, 129.36
 0, 5.5
 0, 71.5
 0, 22
 0, 1238.5
 0, 78
 0, 208
 0, 45.5
 0, 111
 0, 19
 0, 422.3
 0, 22
 0, 35
 0, 7.5
 0, 69
 0, 26
 0, 45.08
 0, 24
 0, 35
 0, 148
 0, 343.98
 0, 241
 0, 319
 0, 2272.52
 0, 98
 0, 3880
 0, 97
 0, 465
 0, 469.5
 0, 5.5
 0, 200
 0, 126.22
 0, 100
 0, 1559
 0, 40
 0, 260
 0, 304
 0, 40
 0, 20
 0, 38
 0, 40
 0, 120
 0, 274.5
 0, 19
 0, 68
 0, 460
 0, 107.5
 0, 37
 0, 66
 0, 472
 0, 198
 0, 405
 0, 91
 0, 369
 0, 144
 0, 1730.68
 0, 44
 0, 65
 0, 476
 0, 10
 0, 498
 0, 50
 0, 21
 0, 5
 0, 207
 0, 22
 0, 725
 0, 70
 0, 199
 0, 72
 0, 143
 0, 10
 0, 14
 0, 5.5
 0, 8
 0, 153.86
 0, 110
 0, 30
 0, 12
 0, 408.25
 0, 44
 0, 59
 0, 157
 0, 85
 0, 171.5
 0, 214
 0, 463
 0, 2460.75
 0, 5.5
 0, 148
 3061, 99.74
 0, 409.64
 0, 15
 0, 22
 0, 6639.75
 0, 62
 0, 821
 0, 0.1
 0, 10
 0, 90
 0, 94
 0, 44
 0, 86
 0, 14
 0, 123.5
 0, 2388
 0, 49.6
 0, 378
 0, 192
 0, 468.5
 0, 222
 0, 10
 0, 111
 0, 801.64
 0, 110
 0, 3137.31
 0, 110
 0, 284
 0, 150
 0, 238
 0, 12
 0, 5
 0, 131
 0, 238
 0, 2909
 0, 57
 0, 248
 0, 40
 0, 40
 0, 196
 0, 104
 0, 189
 0, 596
 0, 5
 0, 140.14
 0, 39
 0, 895
 0, 2134
 0, 135
 0, 1162.65
 0, 670
 0, 1509.5
 0, 38
 0, 198
 0, 250
 0, 202
 0, 10
 0, 10
 0, 11.5
 0, 300
 0, 55
 0, 197.28
 0, 514.01
 0, 18.9
 0, 207
 0, 570
 0, 79
 0, 108
 0, 1500
 0, 41
 0, 11
 0, 18
 0, 5.5
 0, 316
 0, 60
 0, 22.5
 0, 1074.31
 0, 70
 0, 24
 0, 285.5
 0, 11.5
 0, 15
 0, 194
 0, 62
 0, 30
 0, 1820
 0, 98
 0, 18.62
 0, 924
 0, 295
 0, 644
 0, 130
 0, 31
 0, 60
 0, 189
 0, 16.5
 3071, 37
 0, 256
 0, 65
 0, 444
 0, 12
 3071, 361
 0, 646
 2708, 1741.5
 0, 36
 3071, 494
 0, 200
 0, 35
 0, 938
 0, 7.5
 0, 170
 0, 379.05
 0, 20
 0, 100
 0, 252
 0, 100
 0, 2
 0, 32
 0, 32
 0, 3452
 0, 1545.5
 0, 30
 0, 475
 0, 96
 0, 5.5
 0, 15
 0, 244
 0, 685
 0, 11
 0, 890
 0, 63
 0, 1192
 0, 1137
 0, 90
 0, 22
 0, 24
 0, 30
 0, 523
 0, 42
 0, 693
 0, 62
 0, 5.5
 0, 54
 0, 11
 0, 26
 0, 32
 0, 153
 0, 68
 0, 195
 0, 110
 0, 159
 0, 557
 0, 125
 0, 489.02
 0, 14
 0, 11
 0, 25
 0, 480
 0, 498
 0, 120
 0, 85
 0, 78
 0, 132
 0, 2519.8
 0, 135
 0, 966.5
 0, 395
 0, 68
 0, 6
 0, 379
 0, 8
 0, 320
 0, 6
 0, 227
 0, 1976.5
 0, 5787.35
 0, 430
 0, 16.5
 0, 125
 0, 6
 0, 8
 0, 225
 0, 423
 0, 26.5
 0, 127
 0, 646
 0, 1017
 0, 50.5
 0, 905
 0, 34
 0, 143
 0, 43
 0, 206
 0, 733
 0, 6
 0, 107.8
 0, 80
 0, 16
 0, 164.2
 0, 316
 0, 125
 0, 713
 0, 44
 0, 736
 0, 6
 0, 15
 0, 66
 0, 235
 0, 58
 0, 2255
 0, 90
 0, 1575.5
 0, 247
 0, 12
 0, 1160.77
 0, 75
 0, 35
 0, 50.5
 0, 154
 0, 128
 0, 31
 0, 132.3
 0, 34
 0, 298.5
 0, 5.5
 0, 114
 0, 14
 0, 6
 0, 50
 0, 50
 0, 24
 0, 55.5
 0, 20
 0, 58
 0, 8
 0, 277.68
 0, 329
 0, 5.5
 0, 460.35
 0, 432
 0, 58
 0, 5
 0, 165
 0, 928
 0, 437
 0, 186
 0, 46
 0, 221
 0, 14
 0, 90
 0, 79
 0, 90
 0, 82
 0, 40
 0, 385
 0, 68
 0, 36.5
 0, 629.16
 0, 648
 0, 3034
 0, 10
 0, 32
 0, 67
 0, 10
 0, 5
 0, 21.2
 0, 21
 0, 225
 0, 431.2
 0, 65
 0, 414
 0, 647
 0, 2096
 0, 604.5
 0, 78
 0, 10
 0, 2
 0, 45
 0, 184
 0, 387.8
 0, 39
 0, 30
 0, 148
 0, 848.5
 0, 145
 0, 1757.5
 0, 340.06
 0, 233
 0, 70
 0, 67
 0, 357.5
 0, 507.5
 0, 115
 0, 351
 0, 295
 0, 150
 0, 245
 0, 105
 0, 40
 0, 11
 3060, 102.36
 0, 132
 0, 12
 0, 70
 0, 505
 0, 874.5
 0, 1023.12
 0, 0.01
 0, 94.5
 0, 112
 0, 6
 0, 24.5
 0, 192
 0, 53.5
 0, 996
 0, 69
 0, 366
 0, 197
 0, 340.5
 0, 20
 2721, 481.4
 0, 479
 0, 71.5
 0, 1018
 0, 35
 0, 135
 0, 217
 0, 1548
 0, 40
 0, 162
 0, 342
 0, 20
 0, 11
 0, 342
 0, 100
 0, 40
 0, 20
 0, 72
 0, 10
 0, 26
 0, 12
 0, 355
 0, 35
 0, 650
 0, 883.5
 0, 1818.62
 0, 111
 0, 398
 0, 160
 0, 121
 0, 17
 0, 144
 0, 200
 0, 350
 0, 588
 0, 690
 0, 15
 0, 34
 0, 22
 0, 19
 0, 20
 2707, 288.5
 0, 135
 0, 220
 0, 1305
 0, 268.52
 0, 90
 0, 103
 0, 262
 0, 439
 0, 833
 0, 119
 0, 189
 0, 380
 0, 651
 0, 10
 0, 475.3
 0, 99.5
 0, 30
 0, 30
 0, 542
 0, 1975
 0, 88
 0, 489
 0, 109
 0, 182
 0, 335
 0, 55
 0, 19
 0, 165
 0, 52
 0, 412.75
 0, 42
 0, 152
 0, 8.5
 0, 25.75
 0, 13
 0, 78.4
 0, 74.5
 0, 2512
 0, 115
 0, 15.5
 0, 442
 0, 20.5
 0, 20
 0, 16
 0, 162
 0, 32
 0, 15
 0, 1203.93
 0, 121
 0, 90
 0, 192
 0, 76
 0, 463
 0, 30
 0, 79
 0, 250
 0, 40
 0, 1749
 0, 20
 0, 21
 0, 58.8
 0, 49
 0, 2990
 0, 57
 0, 62
 0, 20
 0, 2092.59
 0, 85
 0, 149.5
 0, 26.5
 0, 346.5
 0, 2095.14
 0, 413
 0, 65
 0, 72.52
 0, 417
 0, 854
 0, 88
 0, 249.5
 0, 550
 0, 474
 0, 229
 0, 84
 0, 75
 0, 961
 0, 1825.2
 0, 220
 0, 30
 0, 62
 0, 255
 0, 70.5
 0, 160
 0, 350
 0, 491.5
 2703, 1709.06
 0, 343
 0, 22
 0, 990
 0, 10
 0, 274.4
 3067, 2048.5
 0, 46
 0, 518
 0, 118
 0, 581.63
 0, 36
 0, 195
 0, 8
 0, 409
 0, 270
 0, 96.04
 0, 393
 0, 871
 0, 784.5
 0, 525
 0, 69
 0, 735
 0, 34
 0, 233
 0, 265.5
 0, 257
 0, 356.5
 0, 162
 0, 149
 0, 25
 0, 325
 0, 55
 0, 24
 0, 175
 0, 285
 0, 20
 0, 576
 0, 843
 0, 726
 0, 10
 0, 398
 0, 225
 0, 50
 0, 81
 0, 109
 0, 35
 0, 96
 0, 34
 0, 160
 0, 95
 0, 797
 0, 2
 0, 209
 0, 2541.25
 0, 807.5
 0, 1142
 0, 765.26
 0, 199
 0, 130
 0, 455
 0, 78.4
 0, 20
 0, 10
 0, 97.02
 0, 642
 0, 716.5
 0, 2653
 0, 519.4
 0, 160
 0, 152
 0, 20
 0, 229
 0, 48
 0, 66
 0, 851
 0, 36
 0, 84
 0, 141.5
 0, 17
 0, 141.5
 0, 20
 0, 70
 0, 519
 0, 40
 0, 5
 0, 493
 0, 30
 0, 85
 0, 46.06
 0, 2
 0, 294
 0, 45
 0, 152
 0, 74.6
 0, 486
 0, 681
 0, 40
 0, 155
 0, 34
 0, 689
 0, 72.32
 0, 2123
 0, 189
 0, 1127
 0, 52
 0, 136
 0, 43
 0, 40
 0, 67
 0, 40
 0, 59
 0, 40
 0, 580
 0, 95
 0, 25
 0, 175
 0, 1085
 0, 417
 0, 181
 0, 604
 0, 38
 0, 70
 0, 12
 0, 128
 0, 2479.2
 0, 677
 0, 150
 0, 2079
 0, 21
 0, 1298.99
 0, 52
 0, 10
 0, 164
 0, 143
 0, 602.5
 0, 179
 0, 26
 0, 45
 0, 18
 0, 680.5
 0, 136.96
 0, 389.5
 0, 90
 0, 7.2
 0, 38
 0, 69.5
 0, 8
 0, 4695.96
 0, 50
 0, 691.5
 0, 270.5
 0, 60
 0, 53
 0, 35
 0, 419
 0, 10
 0, 64
